Time (UNIX Localtime format), Voltage 1 (V), Voltage 2 (V), Current (A), Power (W), Temperature (°C), SOC (%), Power Status
1692368875,13.659,0.010,-10.456,-142.82,17.25,,OFF
1692368876,13.661,0.010,-10.465,-142.96,17.25,,OFF
1692368877,13.662,0.012,-10.506,-143.53,17.25,,OFF
1692368878,13.659,0.010,-10.469,-143.00,17.25,,OFF
1692368879,13.661,0.009,-10.436,-142.57,17.25,,OFF
1692368880,13.663,0.013,-10.481,-143.20,17.25,,OFF
1692368881,13.662,0.011,-10.436,-142.58,17.25,,OFF
1692368882,13.663,0.013,-10.466,-143.00,17.25,,OFF
1692368883,13.664,0.013,-10.420,-142.38,17.25,,OFF
1692368884,13.716,0.013,-15.007,-205.84,17.25,,OFF
1692368885,13.729,0.011,-11.312,-155.30,17.25,,OFF
1692368886,13.676,0.010,-8.810,-120.49,17.25,,OFF
1692368887,13.657,0.014,-8.889,-121.40,17.25,,OFF
1692368888,13.645,0.012,-8.951,-122.14,17.25,,OFF
1692368889,13.636,0.011,-8.997,-122.68,17.25,,OFF
1692368890,13.633,0.011,-8.966,-122.23,17.25,,OFF
1692368891,13.629,0.013,-8.978,-122.36,17.25,,OFF
1692368892,13.623,0.011,-8.981,-122.35,17.25,,OFF
1692368893,13.637,0.014,-10.394,-141.74,17.25,,OFF
1692368894,13.643,0.013,-10.458,-142.68,17.25,,OFF
1692368895,13.652,0.013,-10.403,-142.02,17.25,,OFF
1692368896,13.654,0.012,-10.416,-142.22,17.25,,OFF
1692368897,13.657,0.014,-10.384,-141.81,17.25,,OFF
1692368898,13.723,0.013,-14.984,-205.63,17.25,,OFF
1692368899,13.752,0.013,-14.888,-204.74,17.25,,OFF
1692368900,13.772,0.010,-14.834,-204.29,17.25,,OFF
1692368901,13.782,0.010,-14.755,-203.35,17.25,,OFF
1692368902,13.795,0.012,-14.772,-203.78,17.25,,OFF
1692368903,13.798,0.011,-14.754,-203.58,17.25,,OFF
1692368904,13.808,0.015,-14.712,-203.14,17.25,,OFF
1692368905,13.736,0.012,-8.497,-116.71,17.25,,OFF
1692368906,13.695,0.010,-8.641,-118.34,17.25,,OFF
1692368907,13.676,0.011,-8.714,-119.17,17.25,,OFF
1692368908,13.663,0.013,-8.809,-120.36,17.25,,OFF
1692368909,13.666,0.012,-10.246,-140.02,17.25,,OFF
1692368910,13.648,0.012,-8.843,-120.69,17.25,,OFF
1692368911,13.642,0.013,-8.871,-121.02,17.25,,OFF
1692368912,13.638,0.013,-8.938,-121.90,17.25,,OFF
1692368913,13.632,0.013,-8.949,-121.99,17.25,,OFF
1692368914,13.631,0.011,-8.952,-122.02,17.25,,OFF
1692368915,13.628,0.010,-8.954,-122.03,17.25,,OFF
1692368916,13.630,0.014,-8.975,-122.33,17.25,,OFF
1692368917,13.625,0.011,-8.995,-122.56,17.25,,OFF
1692368918,13.626,0.014,-8.941,-121.83,17.25,,OFF
1692368919,13.625,0.012,-8.974,-122.27,17.25,,OFF
1692368920,13.622,0.012,-8.975,-122.26,17.25,,OFF
1692368921,13.625,0.010,-8.963,-122.12,17.25,,OFF
1692368922,13.620,0.010,-8.935,-121.69,17.25,,OFF
1692368923,13.624,0.013,-8.976,-122.29,17.25,,OFF
1692368924,13.624,0.014,-8.954,-121.99,17.25,,OFF
1692368925,13.624,0.013,-8.995,-122.55,17.25,,OFF
1692368926,13.631,0.012,-10.341,-140.96,17.25,,OFF
1692368927,13.643,0.012,-10.400,-141.89,17.25,,OFF
1692368928,13.652,0.013,-10.383,-141.75,17.25,,OFF
1692368929,13.637,0.009,-8.915,-121.57,17.25,,OFF
1692368930,13.630,0.012,-8.902,-121.33,17.25,,OFF
1692368931,13.628,0.014,-8.916,-121.51,17.25,,OFF
1692368932,13.628,0.012,-8.959,-122.09,17.25,,OFF
1692368933,13.628,0.015,-8.939,-121.82,17.25,,OFF
1692368934,13.627,0.012,-8.963,-122.14,17.25,,OFF
1692368935,13.626,0.011,-8.960,-122.09,17.25,,OFF
1692368936,13.622,0.013,-8.946,-121.86,17.25,,OFF
1692368937,13.620,0.014,-8.507,-115.87,17.25,,OFF
1692368938,13.618,0.012,-8.603,-117.16,17.25,,OFF
1692368939,13.615,0.012,-8.644,-117.69,17.25,,OFF
1692368940,13.618,0.013,-8.864,-120.71,17.25,,OFF
1692368941,13.615,0.013,-8.517,-115.96,17.25,,OFF
1692368942,13.623,0.012,-9.896,-134.81,17.25,,OFF
1692368943,13.621,0.009,-8.990,-122.45,17.25,,OFF
1692368944,13.622,0.013,-8.954,-121.97,17.25,,OFF
1692368945,13.612,0.012,-7.799,-106.16,17.25,,OFF
1692368946,13.606,0.009,-7.878,-107.19,17.25,,OFF
1692368947,13.609,0.013,-8.539,-116.21,17.25,,OFF
1692368948,13.603,0.010,-8.050,-109.50,17.25,,OFF
1692368949,13.599,0.013,-8.274,-112.52,17.25,,OFF
1692368950,13.601,0.013,-8.270,-112.48,17.25,,OFF
1692368951,13.600,0.015,-7.948,-108.09,17.25,,OFF
1692368952,13.595,0.011,-7.961,-108.23,17.25,,OFF
1692368953,13.597,0.008,-8.894,-120.93,17.25,,OFF
1692368954,13.604,0.011,-7.850,-106.79,17.25,,OFF
1692368955,13.599,0.011,-7.954,-108.17,17.25,,OFF
1692368956,13.603,0.012,-8.887,-120.89,17.25,,OFF
1692368957,13.601,0.014,-8.585,-116.76,17.25,,OFF
1692368958,13.603,0.012,-8.782,-119.46,17.25,,OFF
1692368959,13.601,0.011,-8.190,-111.39,17.25,,OFF
1692368960,13.609,0.009,-9.497,-129.24,17.25,,OFF
1692368961,13.621,0.011,-9.930,-135.26,17.25,,OFF
1692368962,13.622,0.011,-8.522,-116.09,17.25,,OFF
1692368963,13.615,0.013,-8.406,-114.45,17.25,,OFF
1692368964,13.610,0.013,-8.699,-118.39,17.25,,OFF
1692368965,13.610,0.013,-8.778,-119.47,17.25,,OFF
1692368966,13.608,0.014,-8.469,-115.25,17.25,,OFF
1692368967,13.610,0.014,-8.475,-115.34,17.25,,OFF
1692368968,13.610,0.013,-8.893,-121.03,17.25,,OFF
1692368969,13.610,0.011,-8.841,-120.33,17.25,,OFF
1692368970,13.604,0.010,-8.534,-116.10,17.25,,OFF
1692368971,13.601,0.013,-8.011,-108.96,17.25,,OFF
1692368972,13.601,0.011,-7.929,-107.84,17.25,,OFF
1692368973,13.599,0.011,-8.093,-110.06,17.25,,OFF
1692368974,13.617,0.012,-9.512,-129.52,17.25,,OFF
1692368975,13.629,0.012,-9.601,-130.85,17.25,,OFF
1692368976,13.613,0.011,-8.615,-117.28,17.25,,OFF
1692368977,13.611,0.014,-8.711,-118.57,17.25,,OFF
1692368978,13.602,0.012,-7.963,-108.31,17.25,,OFF
1692368979,13.556,0.014,-4.161,-56.41,17.25,,OFF
1692368980,13.555,0.013,-6.136,-83.17,17.25,,OFF
1692368981,13.591,0.011,-10.099,-137.26,17.25,,OFF
1692368982,13.606,0.011,-9.404,-127.95,17.25,,OFF
1692368983,13.619,0.012,-9.552,-130.09,17.25,,OFF
1692368984,13.628,0.011,-9.747,-132.83,17.25,,OFF
1692368985,13.685,0.011,-14.663,-200.66,17.25,,OFF
1692368986,13.718,0.013,-13.903,-190.72,17.25,,OFF
1692368987,13.741,0.010,-14.449,-198.54,17.25,,OFF
1692368988,13.755,0.013,-13.882,-190.95,17.25,,OFF
1692368989,13.768,0.012,-13.822,-190.30,17.25,,OFF
1692368990,13.770,0.012,-13.505,-185.96,17.25,,OFF
1692368991,13.788,0.011,-14.615,-201.51,17.25,,OFF
1692368992,13.769,0.011,-11.829,-162.87,17.25,,OFF
1692368993,13.759,0.010,-11.931,-164.16,17.25,,OFF
1692368994,13.751,0.013,-11.978,-164.71,17.25,,OFF
1692368995,13.751,0.011,-12.098,-166.36,17.25,,OFF
1692368996,13.751,0.011,-12.063,-165.88,17.25,,OFF
1692368997,13.769,0.013,-14.583,-200.79,17.25,,OFF
1692368998,13.793,0.011,-14.666,-202.29,17.25,,OFF
1692368999,13.805,0.011,-14.612,-201.72,17.25,,OFF
1692369000,13.814,0.011,-14.559,-201.12,17.25,,OFF
1692369001,13.820,0.014,-14.579,-201.48,17.25,,OFF
1692369002,13.823,0.012,-14.562,-201.29,17.25,,OFF
1692369003,13.823,0.011,-14.529,-200.83,17.25,,OFF
1692369004,13.829,0.012,-14.540,-201.07,17.25,,OFF
1692369005,13.829,0.011,-14.540,-201.07,17.25,,OFF
1692369006,13.833,0.012,-14.559,-201.39,17.25,,OFF
1692369007,13.834,0.011,-14.533,-201.05,17.25,,OFF
1692369008,13.838,0.014,-14.578,-201.73,17.25,,OFF
1692369009,13.837,0.011,14.542,201.22,17.25,,OFF
1692369010,13.839,0.013,14.553,201.40,17.25,,OFF
1692369011,13.839,0.014,14.550,201.36,17.25,,OFF
1692369012,13.840,0.014,14.546,201.32,17.25,,OFF
1692369013,13.841,0.016,14.527,201.07,17.25,,OFF
1692369014,13.840,0.015,14.587,201.88,17.25,,OFF
1692369015,13.841,0.012,14.556,201.47,17.25,,OFF
1692369016,13.841,0.014,14.573,201.70,17.25,,OFF
1692369017,13.842,0.011,14.544,201.32,17.25,,OFF
1692369018,13.846,0.014,14.551,201.47,17.25,,OFF
1692369019,13.846,0.015,14.582,201.90,17.25,,OFF
1692369020,13.842,0.011,14.606,202.18,17.25,,OFF
1692369021,13.848,0.013,14.581,201.92,17.25,,OFF
1692369022,13.841,0.014,13.785,190.80,17.25,,OFF
1692369023,13.787,0.013,9.838,135.64,17.25,,OFF
1692369024,13.757,0.012,9.985,137.36,17.25,,OFF
1692369025,13.740,0.014,10.084,138.55,17.25,,OFF
1692369026,13.728,0.013,10.135,139.13,17.25,,OFF
1692369027,13.721,0.010,10.163,139.45,17.25,,OFF
1692369028,13.735,0.014,13.510,185.56,17.25,,OFF
1692369029,13.783,0.011,14.774,203.63,17.25,,OFF
1692369030,13.808,0.014,14.709,203.10,17.25,,OFF
1692369031,13.821,0.010,14.647,202.44,17.25,,OFF
1692369032,13.826,0.010,14.550,201.17,17.25,,OFF
1692369033,13.837,0.012,14.557,201.43,17.25,,OFF
1692369034,13.836,0.013,14.366,198.77,17.25,,OFF
1692369035,13.839,0.012,14.356,198.67,17.25,,OFF
1692369036,13.840,0.012,14.350,198.60,17.25,,OFF
1692369037,13.841,0.011,14.433,199.77,17.25,,OFF
1692369038,13.842,0.009,14.418,199.57,17.25,,OFF
1692369039,13.845,0.012,14.459,200.18,17.25,,OFF
1692369040,13.847,0.014,14.423,199.72,17.25,,OFF
1692369041,13.848,0.012,14.418,199.66,17.25,,OFF
1692369042,13.848,0.010,14.393,199.31,17.25,,OFF
1692369043,13.851,0.013,14.434,199.93,17.25,,OFF
1692369044,13.851,0.014,14.426,199.81,17.25,,OFF
1692369045,13.853,0.012,14.438,200.01,17.25,,OFF
1692369046,13.852,0.012,14.338,198.61,17.25,,OFF
1692369047,13.849,0.010,14.401,199.44,17.25,,OFF
1692369048,13.850,0.013,14.397,199.40,17.25,,OFF
1692369049,13.811,0.015,9.594,132.50,17.25,,OFF
1692369050,13.772,0.013,9.751,134.29,17.25,,OFF
1692369051,13.749,0.012,9.839,135.28,17.25,,OFF
1692369052,13.736,0.010,9.882,135.74,17.25,,OFF
1692369053,13.729,0.010,9.940,136.47,17.25,,OFF
1692369054,13.724,0.011,9.968,136.80,17.25,,OFF
1692369055,13.718,0.012,9.995,137.11,17.25,,OFF
1692369056,13.717,0.013,10.011,137.32,17.25,,OFF
